column,unique_count,value,count,ratio
anatom_site_general,5,posterior torso,121902,0.303950
anatom_site_general,5,lower extremity,103028,0.256890
anatom_site_general,5,anterior torso,87770,0.218846
anatom_site_general,5,upper extremity,70557,0.175927
anatom_site_general,5,head/neck,12046,0.030035
attribution,7,Memorial Sloan Kettering Cancer Center,129068,0.321818
attribution,7,"Department of Dermatology, Hospital Clínic de Barcelona",105724,0.263612
attribution,7,University Hospital of Basel,65218,0.162614
attribution,7,"Frazer Institute, The University of Queensland, Dermatology Research Centre",51768,0.129078
attribution,7,ACEMID MIA,28665,0.071473
attribution,7,"ViDIR Group, Department of Dermatology, Medical University of Vienna",12640,0.031517
attribution,7,"Department of Dermatology, University of Athens, Andreas Syggros Hospital of Skin and Venereal Diseases, Alexander Stratigos, Konstantinos Liopyris",7976,0.019887
copyright_license,3,CC-BY,188812,0.470784
copyright_license,3,CC-BY-NC,183582,0.457743
copyright_license,3,CC-0,28665,0.071473
iddx_1,3,Benign,400552,0.998736
iddx_1,3,Malignant,393,0.000980
iddx_1,3,Indeterminate,114,0.000284
iddx_2,14,Benign melanocytic proliferations,443,0.001105
iddx_2,14,Malignant adnexal epithelial proliferations - Follicular,163,0.000406
iddx_2,14,Malignant melanocytic proliferations (Melanoma),157,0.000391
iddx_2,14,Benign epidermal proliferations,83,0.000207
iddx_2,14,Indeterminate melanocytic proliferations,75,0.000187
iddx_2,14,Malignant epidermal proliferations,73,0.000182
iddx_2,14,Indeterminate epidermal proliferations,39,0.000097
iddx_2,14,Benign soft tissue proliferations - Fibro-histiocytic,15,0.000037
iddx_2,14,Inflammatory or infectious diseases,7,0.000017
iddx_2,14,Flat melanotic pigmentations - not melanocytic nevus,5,0.000012
iddx_2,14,Benign soft tissue proliferations - Vascular,3,0.000007
iddx_2,14,Cysts,2,0.000005
iddx_2,14,Benign adnexal epithelial proliferations - Follicular,2,0.000005
iddx_2,14,Benign adnexal epithelial proliferations - Apocrine or Eccrine,1,0.000002
iddx_3,25,Nevus,443,0.001105
iddx_3,25,Basal cell carcinoma,163,0.000406
iddx_3,25,Melanoma in situ,80,0.000199
iddx_3,25,Atypical melanocytic neoplasm,64,0.000160
iddx_3,25,Melanoma Invasive,63,0.000157
iddx_3,25,Seborrheic keratosis,57,0.000142
iddx_3,25,Squamous cell carcinoma in situ,49,0.000122
iddx_3,25,Solar or actinic keratosis,39,0.000097
iddx_3,25,"Squamous cell carcinoma, Invasive",22,0.000055
iddx_3,25,"Melanoma, NOS",13,0.000032
iddx_3,25,Solar lentigo,12,0.000030
iddx_3,25,Dermatofibroma,11,0.000027
iddx_3,25,Atypical intraepithelial melanocytic proliferation,11,0.000027
iddx_3,25,Lichen planus like keratosis,11,0.000027
iddx_3,25,Verruca,7,0.000017
iddx_3,25,Lentigo NOS,5,0.000012
iddx_3,25,Pigmented benign keratosis,3,0.000007
iddx_3,25,Hemangioma,3,0.000007
iddx_3,25,Angiofibroma,2,0.000005
iddx_3,25,"Squamous cell carcinoma, NOS",2,0.000005
iddx_4,26,"Nevus, Atypical, Dysplastic, or Clark",228,0.000568
iddx_4,26,"Basal cell carcinoma, Nodular",98,0.000244
iddx_4,26,"Basal cell carcinoma, Superficial",48,0.000120
iddx_4,26,"Melanoma Invasive, Superficial spreading",37,0.000092
iddx_4,26,"Nevus, NOS, Compound",30,0.000075
iddx_4,26,"Nevus, NOS, Dermal",20,0.000050
iddx_4,26,"Melanoma in situ, Lentigo maligna type",12,0.000030
iddx_4,26,"Melanoma in situ, associated with a nevus",12,0.000030
iddx_4,26,"Nevus, NOS, Junctional",10,0.000025
iddx_4,26,"Melanoma in situ, Superficial spreading",10,0.000025
iddx_4,26,"Melanoma Invasive, Associated with a nevus",7,0.000017
iddx_4,26,"Basal cell carcinoma, Infiltrating",6,0.000015
iddx_4,26,"Melanoma Invasive, On chronically sun-exposed skin or lentigo maligna melanoma",5,0.000012
iddx_4,26,"Squamous cell carcinoma, Invasive, Keratoacanthoma-type",5,0.000012
iddx_4,26,"Nevus, Congenital",4,0.000010
iddx_4,26,"Nevus, Spitz",3,0.000007
iddx_4,26,"Hemangioma, Cherry",3,0.000007
iddx_4,26,"Nevus, Deep penetrating",2,0.000005
iddx_4,26,"Nevus, Of special anatomic site",2,0.000005
iddx_4,26,"Nevus, Combined",2,0.000005
iddx_5,1,"Blue nevus, Cellular",1,0.000002
iddx_full,52,Benign,399991,0.997337
iddx_full,52,"Benign::Benign melanocytic proliferations::Nevus::Nevus, Atypical, Dysplastic, or Clark",228,0.000568
iddx_full,52,Benign::Benign melanocytic proliferations::Nevus,141,0.000352
iddx_full,52,"Malignant::Malignant adnexal epithelial proliferations - Follicular::Basal cell carcinoma::Basal cell carcinoma, Nodular",98,0.000244
iddx_full,52,Indeterminate::Indeterminate melanocytic proliferations::Atypical melanocytic neoplasm,64,0.000160
iddx_full,52,Benign::Benign epidermal proliferations::Seborrheic keratosis,56,0.000140
iddx_full,52,"Malignant::Malignant adnexal epithelial proliferations - Follicular::Basal cell carcinoma::Basal cell carcinoma, Superficial",48,0.000120
iddx_full,52,Malignant::Malignant epidermal proliferations::Squamous cell carcinoma in situ,48,0.000120
iddx_full,52,Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ,46,0.000115
iddx_full,52,Indeterminate::Indeterminate epidermal proliferations::Solar or actinic keratosis,38,0.000095
iddx_full,52,"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma Invasive::Melanoma Invasive, Superficial spreading",37,0.000092
iddx_full,52,"Benign::Benign melanocytic proliferations::Nevus::Nevus, NOS, Compound",30,0.000075
iddx_full,52,"Benign::Benign melanocytic proliferations::Nevus::Nevus, NOS, Dermal",20,0.000050
iddx_full,52,"Malignant::Malignant epidermal proliferations::Squamous cell carcinoma, Invasive",17,0.000042
iddx_full,52,Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma Invasive,13,0.000032
iddx_full,52,"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma, NOS",13,0.000032
iddx_full,52,Benign::Benign epidermal proliferations::Solar lentigo,12,0.000030
iddx_full,52,"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ::Melanoma in situ, Lentigo maligna type",12,0.000030
iddx_full,52,"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ::Melanoma in situ, associated with a nevus",12,0.000030
iddx_full,52,Benign::Benign epidermal proliferations::Lichen planus like keratosis,11,0.000027
image_exists,1,1,401059,1.000000
image_type,1,TBP tile: close-up,401059,1.000000
isic_id,401059,ISIC_0015670,1,0.000002
isic_id,401059,ISIC_6699080,1,0.000002
isic_id,401059,ISIC_6699647,1,0.000002
isic_id,401059,ISIC_6699636,1,0.000002
isic_id,401059,ISIC_6699544,1,0.000002
isic_id,401059,ISIC_6699513,1,0.000002
isic_id,401059,ISIC_6699499,1,0.000002
isic_id,401059,ISIC_6699477,1,0.000002
isic_id,401059,ISIC_6699464,1,0.000002
isic_id,401059,ISIC_6699462,1,0.000002
isic_id,401059,ISIC_6699365,1,0.000002
isic_id,401059,ISIC_6699316,1,0.000002
isic_id,401059,ISIC_6699302,1,0.000002
isic_id,401059,ISIC_6699250,1,0.000002
isic_id,401059,ISIC_6699239,1,0.000002
isic_id,401059,ISIC_6699236,1,0.000002
isic_id,401059,ISIC_6699199,1,0.000002
isic_id,401059,ISIC_6699196,1,0.000002
isic_id,401059,ISIC_6699148,1,0.000002
isic_id,401059,ISIC_6699147,1,0.000002
lesion_id,22058,IL_6727506,1,0.000002
lesion_id,22058,IL_3147105,1,0.000002
lesion_id,22058,IL_0180339,1,0.000002
lesion_id,22058,IL_7214852,1,0.000002
lesion_id,22058,IL_0805062,1,0.000002
lesion_id,22058,IL_3819544,1,0.000002
lesion_id,22058,IL_4384293,1,0.000002
lesion_id,22058,IL_0889385,1,0.000002
lesion_id,22058,IL_9271352,1,0.000002
lesion_id,22058,IL_5181541,1,0.000002
lesion_id,22058,IL_1889618,1,0.000002
lesion_id,22058,IL_2192003,1,0.000002
lesion_id,22058,IL_6197662,1,0.000002
lesion_id,22058,IL_8310453,1,0.000002
lesion_id,22058,IL_2490056,1,0.000002
lesion_id,22058,IL_0673720,1,0.000002
lesion_id,22058,IL_4817776,1,0.000002
lesion_id,22058,IL_5115265,1,0.000002
lesion_id,22058,IL_3123114,1,0.000002
lesion_id,22058,IL_0397860,1,0.000002
mel_mitotic_index,7,0/mm^2,22,0.000055
mel_mitotic_index,7,<1/mm^2,19,0.000047
mel_mitotic_index,7,>4/mm^2,4,0.000010
mel_mitotic_index,7,1/mm^2,3,0.000007
mel_mitotic_index,7,3/mm^2,2,0.000005
mel_mitotic_index,7,2/mm^2,2,0.000005
mel_mitotic_index,7,4/mm^2,1,0.000002
patient_id,1042,IP_1117889,9184,0.022899
patient_id,1042,IP_5714646,6267,0.015626
patient_id,1042,IP_3921915,5568,0.013883
patient_id,1042,IP_7797815,4454,0.011106
patient_id,1042,IP_9577633,3583,0.008934
patient_id,1042,IP_5539318,2859,0.007129
patient_id,1042,IP_9853536,2327,0.005802
patient_id,1042,IP_5143034,2283,0.005692
patient_id,1042,IP_0321326,2245,0.005598
patient_id,1042,IP_5426188,2193,0.005468
patient_id,1042,IP_1127121,2183,0.005443
patient_id,1042,IP_1116526,2121,0.005288
patient_id,1042,IP_2331257,1909,0.004760
patient_id,1042,IP_6724798,1859,0.004635
patient_id,1042,IP_3785831,1852,0.004618
patient_id,1042,IP_0658218,1820,0.004538
patient_id,1042,IP_5811816,1772,0.004418
patient_id,1042,IP_5961877,1610,0.004014
patient_id,1042,IP_0869661,1609,0.004012
patient_id,1042,IP_3710285,1607,0.004007
sex,2,male,265546,0.662112
sex,2,female,123996,0.309171
tbp_lv_location,21,Torso Back Top Third,71112,0.177311
tbp_lv_location,21,Torso Front Top Half,63350,0.157957
tbp_lv_location,21,Torso Back Middle Third,46185,0.115158
